楼盘名称,项目别名,jd,wd
工校三村16号,工校三村,,
工校三村1号,工校三村,,
工校三村2号,工校三村,,
工校三村3号,工校三村,,
工校三村4号,工校三村,,
工校三村5号,工校三村,,
工校三村6号,工校三村,,
工校三村7号,工校三村,,
工校三村8号,工校三村,,
工校三村9号,工校三村,,
工业园区农转非,工业园区农转非,,
工业园区新科1路,延寿公寓,,
公安大厦,金山路100号,,
公安家属院,公安家属院,,
公安局大院,,,
公安局集资房,公安局集资房,,
公安局集资房(南岸),,,
公安小区,锦苑瑞庭,,
公务员小区,,,
公园村29号,中山路小区,,
公园路19号,德艺大厦,,
公园路6号,大圆祥爱尚公园,,
公园置尚,公园置尚;公园置尚（云尚）;公园置尚（置尚）,,
共建路61号,朵力欣元A区;朵力欣元,,
共建路62号,朵力欣元B区,,
古楼村小区,古楼村小区;古楼村,,
古楼二村9号,古楼二村,,
古楼六村,古楼六村,,
古楼四村,古楼四村,,
古楼五村,古楼五村,,
古楼一村,古楼一村,,
谷地公社别墅社区,,,
鼓楼巷老小区,,,
鼓楼巷小区,鼓楼巷小区,,
观江大厦,观江大厦,,
观南城,,,
观星楼,,,
观音桥步行街5号,邦兴北都;邦兴·北都,,
观音桥步行街9号,嘉年华大厦,,
观音岩街道小区,,,
观音岩路83号,泽科兴城;泽科兴城C区,,
观音岩支路2号,泽科兴城;泽科兴城1区;泽科兴城3区,,
官家林199号,禾风雅筑,,
官家林8号,官家林8号,,
管家巷,管家巷,,
管家巷9号,上大田湾；新都花园,,
管委会集资房,农业园区管委会集资房,,
光大世纪,,,
光大小区,光大小区,,
光电路18号,翡翠明珠;南方东银.翡翠明珠;东原翡翠明珠,,
光电路26号,龙湖观山水,,
光电路28号,锦丰汇花园小区；锦丰汇,,
光电路30号,双子星座,,
光电路8号,西计花园,,
光电路小区,光电路小区,,
光华熙地,光华熙地;阳光水城光华熙地,,
光明小区,光明小区,,
光荣坡171号,光荣坡171号,,
光荣坡社区,光荣坡社区,,
光宇阳光海岸,光宇阳光海岸,,
广场路2号,同景南门金阶,,
广福大道17号,银翔翡翠谷B组团二期,,
广福大道26号,奥园水云间;奥园水云间A区,,
广福大道28号,奥园水云间B区,,
广龙明珠,,,
广黔路小区,广黔路小区,,
广胜城,,,
广通山庄,,,
广厦城,广厦城洛卡庄园;广厦城江界;广厦城巢上;广厦城巢上三期;广厦城D组团;广厦城江畔华景,,
广益街小区,广益街小区,,
贵丰三和苑,贵丰三和苑,,
桂馥大道20号,紫台春千集;紫台·春千集,,
桂馥大道2号,强辉金色池塘;金色池塘,,
桂馥大道6号,富悦麓山别苑;麓山别院,,
桂花新村168号,天水伴山居,,
桂花新村1号,升辉苑,,
桂花新村249号,爱尚南山；爱尚南山农转非安置房,,
桂花新村367号,金桂园;金桂圆,,
桂花新村9号,森林龙门皓月；龙门浩月,,
桂花园49号,桂花景苑,,
桂花园75号,桂馨大厦,,
桂花园82号,桂花园,,
桂花园83号,桂花园,,
桂花园84号,桂花园,,
桂花园85号,桂花园,,
桂花园89号,桂花园89号,,
桂花园路13号,桂花大厦,,
桂花园路53号,57中教师宿舍,,
桂花园路60号,桂花园路60号,,
桂欣街1号,东磊桂苑;东磊桂园;东磊桂苑一期,,
桂雨路3号,同景国际城I组团;同景国际城恋山,,
桂雨路7号,同景国际城L组团;同景国际城·馥山,,
桂雨支路6号,同景国际城F组团;中国铁建·山水时光同景国际城F组团,,
郭家岗10号,郭家岗,,
郭家岗11号,郭家岗,,
郭家岗19号,郭家岗,,
郭家岗1号,郭家岗,,
郭家岗20号,欧能蛋糕公馆;欧能·蛋糕公馆,,
郭家岗2号,郭家岗,,
郭家岗33号,郭家岗,,
郭家岗3号,郭家岗,,
郭家岗4号,郭家岗,,
郭家岗5号,郭家岗,,
郭家岗6号,郭家岗,,
郭家岗7号,郭家岗,,
郭家岗8号,郭家岗,,
郭家岗9号,郭家岗,,
郭家岗小区,教育村,,
郭家沱168号,华嘉小区,,
国安综合楼,,,
国宾豪庭,国宾豪庭欢乐空间;国宾豪庭幸福时光;国宾豪庭花样年华;国宾豪庭,,
国宾家庭,国宾家庭,,
国宾家庭快乐空间,国宾家庭快乐空间,,
国航小区,国航小区,,
国航住宅小区,国航住宅小区,,
国惠路15号,国奥村时光漫;国奥村三期,,
国惠路32号,国奥村二期,,
国惠路45号,国奥村;国奥村一期,,
国际村,国际村,,
国际金融大厦,国际金融大厦,,
国际社区中央公园一期,国际社区中央公园一期,,
国瑞城一期,国瑞城一期,,
国税小区（沙坪坝）,国税小区,,
国信大厦,国信大厦;国信大楼,,
国兴北岸江山,北岸江山;国兴北岸江山,,
果塘路135号,春光港湾,,
果塘路137号,清和源,,
果塘路139号,青河世家,,
果塘路169号,盛世明珠,,
果塘路1号,恒运青河湾;青河湾别墅,,
果塘路2号,大鼎湖滨印象,,
果塘路99号,北岸明珠;九地北岸明珠,,
果塘路9号,青河苑；清河苑,,
果糖路99号,清河源,,
果园新村24号,尚城香舍,,
果园新村27号,正能雅舍,,
海岸国际,,,
海德春洪小区,海德春洪小区；海德春洪苑;海德春洪,,
海德福苑,海德福苑；海德福园,,
海德山庄,海德山庄D栋;海德山庄E栋;海德山庄G栋,,
海尔路161号,中维都市美邻,,
海尔路179号,中亿阳明山水,,
海尔路181号,兰溪小区,,
海尔路187号,北岸印象;北岸红港,,
海尔路199号,海尔海语江山;海尔·海语江山;海语江山,,
海尔路299号,康兴园;吉安园(一至三期);吉安园,,
海尔路360号,康丽园,,
海尔路599号,江山名门；北大资源·江山名门;北大资源江山名门,,
海尔路6号,庆业巴蜀城;巴蜀城,,
海尔路955号,胜利花苑;胜利花园,,
海尔路988号,金科太阳海岸,,
海尔路9号,银座花园,,
海福路199号,易博华源;易博华园,,
海福路88号,交通佳苑,,
海福路90号,悠然天地,,
海关车站小区,,,
海吉雅,海吉雅,,
海客瀛洲,海客瀛洲朝天门;庆隆海客瀛洲云上;海客瀛州;庆隆海客瀛洲,,
海兰云天,海兰云天;海兰云天·塞纳维拉,,
海陵厂宿舍,,,
海棠大道1号,南溪绿郡,,
海棠丽景,海棠丽景,,
海棠溪新街1号,聚丰江山里,,
海棠溪正街,海棠溪;海棠溪正街小区,,
海棠溪正街34号,静悦山水,,
海棠晓月,海棠晓月A区;海棠晓月E区;海棠晓月怡景天域;,,
海棠新街42号,骏龙园;骏龙园小区,,
海棠苑,,,
海峡路201号,海峡路社区,,
海峡路203号,海峡路社区,,
海峡路205号,海峡路社区,,
海峡路207号,海峡路社区,,
海峡路211号,汇洋大厦,,
海峡路319号,晨曦华苑;晨曦华园,,
海新路40号,金龙港湾,,
海怡江山,,,
海怡天城,,,
海怡天观山水,,,
海怡天景,,,
海怡天西城华府,西城华府,,
海怡天星海湖,,,
海宇财富双星,海宇财富双星;财富双星,,
海宇缙水楼台,海宇缙水楼台;缙水楼台,,
海宇天赐苑,海宇天赐苑;天赐苑,,
海宇中央鑫都,海宇·中央鑫都,,
海缘阁,海缘阁,,
海韵大楼,海韵大楼,,
海韵大厦,海韵大厦,,
海韵路1号,海兰云天假日风景,,
海韵名邸,海韵名邸,,
海洲时代,,,
汉渝路101号,石油基地;两路石油基地,,
汉渝路127号,四方井公寓,,
汉渝路153号,农场湾,,
汉渝路18号,杏坛苑,,
汉渝路198号,金易星辰,,
汉渝路26-291号,汉渝路小区,,
汉渝路58号,渝航花园,,
汉渝路64号,平安家园,,
汉渝路66号,汉渝路66号,,
汉渝路74号,金易人家,,
汉渝路81号,智博天下；智博天下大厦,,
汉渝路二巷47号,双凤大楼,,
汉渝路三巷3号,汉渝路三巷3号,,
汉渝路一巷77号,晨曦园,,
捍卫路6号,临华大厦,,
捍卫路三巷27号,捍卫路小区,,
翰福楼,翰福楼,,
翰林港湾,,,
翰林景园,瀚林景园,,
翰林紫苑,翰林紫苑,,
瀚恩第五大道北城旺角,瀚恩五大道,,
瀚恩尚都,,,
瀚恩阳光,,,
杭富品山水,,,
航道小区,航道小区,,
航港路8号,远洋航港,,
航天技校宿舍,,,
航天世纪新城,航天世纪新城,,
航天小区,航天小区,,
好家园,好家园,,
好望园,,,
浩立滨江林舍,滨江林舍,,
浩立城市花园,浩立城市花园,,
浩立大厦,浩立大厦,,
浩泰小区,浩泰小区,,
皓林新华苑,皓林新华苑,,
合川德润世家,,,
合川法院小区,合川法院小区,,
合川华宇大厦,合川华宇大厦,,
合桂纵贯线,,,
合建村172号,合建村,,
合建村173号,合建村,,
合建村178号,合建村,,
合建村179号,合建村,,
合建村192号,合建村,,
合建村195号,合建村,,
合建村196号,合建村,,
合建村197号,合建村,,
合建村198号,合建村,,
合建村199号,合建村,,
合建村210号,合建村,,
合建村214号,合建村,,
合建村215号,合建村,,
合建村216号,合建村,,
合建村217号,合建村,,
合建村218号,合建村,,
合建村219号,合建村,,
合建村220号,合建村,,
合建村221号,合建村,,
合建村222号,合建村,,
合建村223号,合建村,,
合建村224号,合建村,,
合建村225号,合建村,,
合建村226号,合建村,,
合建村227号,合建村,,
合建村228号,合建村,,
合建村229号,合建村,,
合建村230号,合建村,,
合建村231号,合建村,,
合建村232号,合建村,,
合建村233号,合建村,,
合建村234号,合建村,,
合建村235号,合建村235号,,
合建村236号,合建村,,
合建村237号,合建村,,
合建村238号,合建村,,
合建村239号,合建村,,
合建村240号,合建村,,
合建村252号,小河春苑,,
合景大厦,合景大厦,,
合信公寓,,,
合阳大道618号,宝龙城市广场;宝龙城市广场(合川),,
合园小区,,,
合作村40号,合作村小区,,
和诚大厦,和诚大厦,,
和合家园,龙兴镇和合家园;和合家园,,
和泓四季,和泓四季二期;和泓·四季,,
和睦北路2号,加新沁园,,
和睦村29号,,,
和睦村39号,,,
和睦路小区,,,
和平路156号,铂蓝地,,
和平路169号,和平路169号,,
和平路1号,星河商务大厦；星河城,,
和平路270号,和平路小区,,
和平路272号,和平路小区,,
和平路288号,和平路小区,,
和平路290号,和平路小区,,
和平路292号,和平路小区,,
和平山126号,和平山126号,,
和平山街263号,和平山街263号,,
和平山社区,和平山社区,,
和顺园6号,和顺园,,
和谐家园,和谐家园,,
和谐居,,,
和谐小区,和谐小区,,
和信公寓188号,和信公寓,,
河嘉村76号,河嘉村,,
河嘉村77号,河嘉村,,
荷塘路50号,友盛大厦,,
荷塘路76号,福宇桥大厦,,
荷塘路80号,龙头景苑,,
荷塘路88号,枫华居,,
荷塘路89号,琼海花园,,
荷塘路小区,,,
鹤皋村,鹤皋村,,
鹤皋村32号,大鼎城市花园；大鼎花园,,
鹤林巷25号,清新花园,,
黑格二期,,,
黑山谷公园,,,
黑山天上人间,,,
亨通家园,,,
恒大大道1号,恒大金碧天下,,
恒大帝景,恒大帝景,,
恒大绿洲,恒大绿洲,,
恒大山水城,,,
恒大雅苑,恒大雅苑,,
恒大御景湾,恒大御景湾,,
恒大照母山三期御景半岛,恒大照母山三期,,
恒康路9号,恒大照母山一期;恒大照母山一期山水城,,
恒森阳光国际,,,
恒山东路5号,大竹林银竹苑,,
恒山东路小区,,,
恒泰丽景,恒泰丽景,,
恒鑫名城,恒鑫名城一期;恒鑫名城,,
弘运小区,,,
红槽房,红槽房,,
红槽房正街109号,融汇之家,,
红槽房正街113号,和谐苑;和谐园,,
红槽房正街99号,蓝溪谷地尚郡;蓝溪谷地;蓝溪谷地格林奇寓;蓝溪谷地格林英郡,,
红地苑,红地苑,,
红鼎国际名苑,红鼎国际名苑;红鼎国际;国际名苑,,
红枫路8号,首创·十方界;首创十方界;首创十方界一期,,
红枫路9号,首创十方界二期;首创十方界峰度,,
红工村,红工村,,
红光村2号,杰信雅邻,,
红光大道1-38号,,,
红光大道15号,,,
红光大道19号,曦圆柳镇；曦圆柳镇一期;曦圆柳镇三期;曦圆柳镇四期,,
红光大道33号,世纪阳光新尚城;新尚城;土桥新尚城,,
红光大道50号,屏都大厦；屏都小区,,
红光大道62号,华府广场；杰信华府广场,,
红光大道68号,重庆理工大学花溪校区经济适用房;理工雅苑,,
红光大道72号,江南水乡A区;江南水乡B区,,
红光大道75号,曦圆理工佳苑,,
红光家属区,,,
红光景苑,,,
红光新村1-70号,红光新村1-70号,,
红光新村1号,红光小区；红光新村A小区；红光新村B小区,,
红河大道116号,天秀锦地,,
红河大道1号,泰晤士清晨；桓大·泰晤士清晨;泰晤士,,
红河大道368号,五洋都市庭院,,
红河大道888号,巴塞罗那；永奥巴塞罗那,,
红河大道999号,香缇漫城；昕晖·香缇漫城,,
红河丽景,,,
红河南路1888号,时代国际;永川时代国际,,
红河中路177号,永川荷塘月色;荷塘月色四期,,
红黄路10号,华创国际;华创大厦;华创国际大厦,,
红黄路1229号,新洲阳光,,
红黄路152号,樱花丽舍,,
红黄路228号,流星花园;流星花园千帆苑,,
红黄路1号,弗瑞登自由之城,,
红黄路20号,文华天成大厦;文华天成;文化天成;文化天成大厦,,
红黄路22号,围城国际公寓,,
红黄路439号,浪漫满屋,,
红黄路441号,正升青青丽苑,,
红黄路445号,七彩空间,,
红黄路93号,阳光丽景,,
红黄路99号,皇冠东和;皇冠东和花园,,
红黄路9号,帝豪丽都,,
红黄路段97号,天骄俊园;协信天骄俊园,,
红金街43-49号,慧心大厦,,
红金街9号,银泰大厦,,
红金街小区,,,
红金路34号,康德大厦,,
红金路36号,惠心大厦,,
红金路41号,红金路小区,,
红金路42小区,红金路42小区,,
红金路43号,红金路小区,,
红金路45号,红金路小区,,
红金路47号,红金路小区,,
红金路49号,红金路小区,,
红金路51号,岭秀锦园;岭绣锦园;嶺绣锦园;领秀锦苑,,
红金路55号,源熙园小区;熙园,,
红金路59号,裕景家园,,
红锦大道12号,财信弗瑞登,,
红锦大道17号,红锦大道小区,,
红锦大道21号,红锦公寓,,
红锦大道25号,加州城市花园,,
红锦大道500号,凤凰城；旭日凤凰城,,
红锦大道518号,君悦世纪;蓝天锦湖苑,,
红锦大道556号,锦绣山庄,,
红锦大道557号,金城帝豪,,
红锦大道559号,天宇金城地豪;天宇金城(原名唐庄名厦),,
红锦大道613号,荣鼎国际,,
红锦大道619号,天和逸苑,,
红锦支路12号,红锦支路12号,,
红锦支路20号,城市阳光,,
红楼俊苑,红楼俊苑;红楼俊园;红楼小区,,
红旗苑,,,
红桥小区,,,
红球坝5号,红球坝,,
红砂碛27号,金科金砂水岸;金砂水岸,,
红盛路37号,东原D7区;东原D7区一期,,
红狮大道10号,彩云小城;达飞彩云小城,,
红狮大道1号,绿澜宝邸；才宇绿澜宝邸;才宇·绿澜宝邸,,
红狮大道22号,兴隆城市广场;巴国绿云,,
红狮大道25号,红狮大道,,
红狮大道27号,红狮大道,,
红狮大道6号,巴国城,,
红狮大道8号,巴国公馆;巴国公馆二期,,
红狮大道9号,巴国御景；龙力巴国御景,,
红石村3幢,红石村3幢,,
红石村4幢,红石村4幢,,
红石村5幢,红石村5幢,,
红石村6幢,红石村6幢,,
红石村7幢,红石村7幢,,
红石村85号,红石村85号,,
红石村86号,红石村86号,,
红石村87号,红石村87号,,
红石村88号,红石村88号,,
红石村91号,红石村91号,,
红石村92号,红石村92号,,
红石村93号,红石村93号,,
红石村94号,红石村94号,,
红石路11号,红石路小区,,
红石路126号,亚太大厦,,
红石路128号,红石路128号,,
红石路13号,计量综合楼,,
红石路150号,聚信广场;聚信广场二期;聚信新城际,,
红石路193号,宇豪小居;宇豪小区,,
红石路1号,嘉陵大厦,,
红石路1号附12号,李家花园,,
红石路219号,曾家岩社区；曾家岩老小区,,
红石路260号,石油佳苑,,
红石路266号,川东明珠,,
红石路288号,溪岸上品,,
红石路305号,恋恋上层;恋恋上城,,
红石路317号,东原D8公馆;东原D8区,,
红石路5号,北部尚座,,
红石路6号,红石路6号,,
红石路7号,红石路小区,,
红石路88号,红石路88号；美景华联大厦,,
红石路8号,碧景苑;碧景苑住宅小区,,
红石路9号,红石路小区,,
红石支路1号,花卉小居；花卉园,,
红石支路219号,欧鹏花园,,
红石支路45号,花卉勇智苑；勇智园,,
红石支路69号,思源逸家;思缘逸家,,
红石支路小区,,,
红土地68号,瑞龙凤祥花园,,
红土地70号,电照大厦职工经济适用住房,,
红土地8号,红枫庭,,
红土地9号,康田万丰园,,
红土路69号,馨庭雅苑,,
红兴路22号,东原D7区;东原D7区四期,,
红兴路27号,东原D7区;东原D7区二期,,
红星亭坡15号,红星亭坡,,
红星亭坡16号,红星亭坡,,
红星亭坡17号,红星亭坡,,
红阳村,红阳村,,
红叶路15号,东和苑;东和院,,
红叶路20号,南江地质队集资房,,
红叶路29号,润都7号,,
红叶路39号,佰度SOHO,,
红叶路4号,邮政绿苑,,
红叶路55号,北城布丁,,
红叶路8号,锦上华庭荣邸；锦上华庭铭邸;渝北锦上华庭；锦上华庭一期；锦上华庭二期,,
红宇家属院,,,
红育坡,,,
红原路138号,首创鸿恩国际生活区,,
红原路66号,华润中央公园四期,,
红糟房正街社区,,,
宏帆路28号,海悦香缇,,
宏帆路32号,凤凰湾;凤凰湾二期驭府,,
宏帆路3号,宏帆路竹园小区;竹园小区(江北);江北竹园小区,,
宏帆路7号,翠苑小区,,
宏帆路8号,半城中央；伴城花苑,,
宏帆路9号,海悦蓝庭;宏帆路3号小区,,
宏帆曦城,宏帆曦城;红帆曦城;曦城;曦城小区,,
宏基大厦,宏基大厦,,
宏锦鑫都,宏锦鑫都;宏锦大厦,,
宏漆大厦,宏漆大厦,,
宏声大道87号,金科天湖小镇,,
宏声大道8号,涪陵金豪大厦,,
宏声公寓,宏声公寓,,
宏声路35号,旧城改造工程,,
宏声路36号,南滨印象,,
宏声路37号,洋河南滨花园,,
宏声路39号,阳光小筑,,
宏声路46号,阳光南滨,,
宏声巷16号,宏声巷小区,,
宏声巷24号,宏声大厦,,
宏愿小区,宏愿小区,,
洪博欣苑,,,
洪代明集资房,,,
洪湖东路51号,财富中心国际公寓,,
洪湖西路21号,欧瑞蓝爵公馆;蓝爵公馆,,
洪泰明小区,洪泰明小区,,
虹都景苑,虹都景园,,
虹桥10号,虹桥邨小区,,
虹桥路12号,虹桥小区,,
鸿昌大厦,,,
鸿程山水家园,鸿程山水家园;山水家园,,
鸿恩二路138号,保利江上明珠;保利江上明珠-A-2组团;保利山庄,,
鸿恩二路31号,绿地海外滩二期,,
鸿恩路151号,保利江上明珠D4组团,,
鸿恩路181号,保利江上明珠D2组团,,
鸿恩路191号,保利江上明珠D1组团,,
鸿恩路279号,保利江上明珠;保利江上明珠D-5-1组团,,
鸿恩三路58号,保利江上明珠;保利江上明珠A-3组团,,
鸿恩一路11号,鸿恩怡园,,
鸿鸥百安华庭,,,
鸿兴大厦,鸿兴大厦,,
鸿猷花园,,,
后堡,,,
胡杨路2号,金科小城故事,,
胡杨路31号,怡和小区,,
胡杨路51号,人和丽景,,
湖滨东路73号,丽源岛,,
湖滨东路8号,湖畔城市假日,,
"湖滨路2号,4号",南湖魅力世纪;华竹花园,,
湖滨西路19号,水木青华,,
湖滨新村28号,湖滨新村,,
湖滨新村29号,湖滨新村,,
湖津路100号,公园一号;公园1号;公园壹號,,
湖津路121号,融科金湖湾;融科城金湖湾;融科城·金湖湾,,
湖津路177号,龙湖蓝湖香颂,,
湖津路18号,融科橡树澜湾,,
湖榕锦苑,湖榕锦苑,,
湖榕路22号,蓝光中央广场,,
湖榕路39号附8号,榕华园,,
湖榕路77号,湖榕瑞苑,,
湖山水榭花都,,,
湖山雅筑,雅筑园,,
湖上瑞湖名苑,瑞湖名苑,,
湖霞街1号,康桥融府;康桥融府一期,,
湖霞街8号,中振湖霞郡;北部.湖霞郡一期,,
湖月路50号,园丁梦苑,,
湖云街12号,保利高尔夫豪园;保利高尔夫华庭;保利国际高尔夫华庭,,
湖云街8号,逸翠庄园；逸翠庄园二期;逸翠庄园誉园,,
虎溪花园,虎溪花园,,
虎啸口村16号,王朝温泉花园,,
虎歇路65号,佳馨小居;佳馨小区,,
虎歇路66号,总部行政领馆2区;重庆总部城G区,,
虎歇路77号,升伟中环广场,,
虎歇路78号,总部行政领馆1区;重庆总部城F区,,
互助里10号,互助里,,
互助里12号,互助里,,
互助里68号,互助里,,
花卉大厦,花卉大厦,,
花卉东路15附15号,花卉东路15附15号,,
花卉东路38号,富贵花园,,
花卉东路48号,黄金堡城市花园,,
花卉路98号,鸿恩丽舍,,
花卉西路30号,金诚苑,,
花卉西三路,,,
花卉小居二期,花卉小居二期,,
花卉小居一期,花卉小居（一期）,,
花卉园东路139号,黄金堡都市庭园,,
花卉园东路143号,半山花园,,
花卉园东路15号,黄金堡小居,,
花卉园东路165号,爱丁堡,,
花卉园东路28号,黄金堡住宅小区,,
花卉园东路40号,林馨园,,
花卉园西2路,花卉园西2路,,
花卉园西3路,花卉园西3路,,
花卉园西4路,花卉园西4路,,
花卉园西二路3号,花卉园西二路3号,,
花卉园西二路7号,花卉园西二路7号,,
花卉园西二路9号,花卉园西二路9号,,
花卉园西路29号,汇景花园;卉景花园,,
花卉园西路30号,花卉西路小区,,
花卉园西路80号,花卉园西路80号；依山小区；依山住宅小区,,
花卉园西三路47号,花卉园西三路47号,,
花卉园西三路49号,花卉园西三路49号,,
花卉园西三路51号,花卉园西三路51号,,
花卉园西三路53号,花卉园西三路53号,,
花卉园西四路30号,花卉西四路小区,,
花卉园西四路32号,花卉西四路小区,,
花卉园西四路34号,花卉西四路小区,,
花卉园西四路38号,花卉西四路小区,,
花卉园西四路44号,花卉西四路小区,,
花卉园西四路53号,碧泉花园,,
花卉园西四路5号,花卉园西四路小区;花卉园西四路,,
花卉园西四路6号,花卉园西四路小区;花卉园西四路,,
花卉园西四路82号,花卉园西四路小区;花卉园西四路,,
花卉园西四路8号,花卉园西四路小区;花卉园西四路,,
花卉园西一路10号,黄金堡芷苑;址苑大厦,,
花卉园西一路33号,花卉园西一路33号,,
花卉园西一路36号,花卉西一路小区,,
花卉园西一路47号,花卉西一路小区,,
花卉园西一路49号,花卉西一路小区,,
花卉园西一路59号,花卉西一路小区,,
花卉园西一路5号,好望花园,,
花卉园西一路73号,花卉园西一路73号,,
花卉园新城小区,花卉园新城小区,,
花街子20号,十八梯大厦,,
花生堡,花生堡,,
花生堡145号,天星康韵,,
花土湾7号,港务局;鱼洞港务局,,
花土湾小区,花土湾小区,,
花溪新村,,,
花溪新村14号,,,
花溪新村19号,名流花园,,
花溪新村88号,花溪大厦；李家沱花溪大厦,,
花样年华,,,
花园八村,花园八村,,
花园村二村,花园村二村,,
花园村四村,花园村四村,,
花园村一小区,花园村一小区,,
花园二村11号,花园二村,,
花园六村,花园六村,,
花园路10号,龙锦苑,,
花园路1号,业成花园；业城花园;民安园;七星岗业成花园,,
花园路22号,世纪新村,,
花园七村,花园七村,,
花园三村,花园三村,,
花园四村,,,
花园五村,花园五村,,
花园西路123号,宜康居,,
花园一村,花园一村,,
华奥小区,华奥小区,,
华彩俊豪,华采俊豪；华彩·俊豪,,
华晨苑,,,
华创天地豪情,,,
华德小区,,,
华地领域,,,
华福大道8号,华龙苑,,
华福大道北段14号,七彩华府,,
华福大道北段16号,金科华岩国际,,
华福大道北段69号,华宇锦绣花城;华宇·锦绣花城;华宇·锦绣花城一期,,
华福大道北段77号,奥园国际城A区;奥园国际城,,
华福大道北段79号,奥园国际城B区,,
华福家园,华福家园,,
华福巷29号,华福大厦,,
华福巷47号,金盾宏福,,
华福巷55号,恒幸花园,,
华福巷小区,华福巷;华福巷小区,,
华福苑,华福苑,,
华福苑30号,科普大厦,,
华府枫景,,,
华富苑,,,
华港翡翠城,华港翡翠城;中航翡翠城,,
华光小区,华光小区;城南华光小区,,
华龙大道1873-2号楼,华龙大道1873-2号楼,,
华龙大道189号,西苑6号;西苑六号,,
华龙大道211号,华福雅苑,,
华龙大道36号,福缘尚城;伟岸福缘尚城,,
华龙大道53号,半山小区;齐团半山小区,,
华龙大道56号,海兰云天畔山林语,,
华龙大道8号,随缘居,,
华龙中街43号,瀛丹大厦,,
华隆小区,华隆小区,,
华民街6号,欣茂苑;二郎欣茂苑,,
华能大厦,华能大厦,,
华庆路20号,华龙家园,,
华庆路23号,盾安九龙城C组团,,
华庆路25号,盾安九龙城B区,,
华庆路27号,盾安九龙城,,
华庆路8号,朝阳小区(九龙坡),,
华庆路9号,劲旅丽景花园；丽景花园,,
华融醉美湾,,,
华润二十四城,华润二十四城二期;华润二十四城四期,,
华上新天,,,
华盛名都,,,
华唐路,,,
华唐路207号,福康村,,
华陶花园小区,,,
华天俊秀,华天俊秀,,
华庭嘉园,,,
华西商住小区,,,
华西综合楼,,,
华夏商业广场,,,
华新村,华新村,,
华新村266号,华新骄阳,,
华新村269号,隆达家苑;隆达嘉苑,,
华新村360号,东方家园;东方家园A区；东方家园智苑;东方家园C区,,
华新都市花园,华新都市花园;华新都市花园(一至三期);华新都市;郦锦苑,,
华新街96号,光华观府国际,,
华新小区,雨轩华新小区,,
华新逸景,华新逸景,,
华轩支路108号,归谷城市;城市美墅,,
华轩支路35号,磨盘山,,
华岩南村16号,建立·天顺家园;天顺家园;建立天顺家园,,
华岩寺路5号,华福山水,,
华岩一村88号,创豪华岩世家;华岩世家,,
华阳福居,,,
华业街28号,安居恒富苑,,
华一村,华一村小区,,
华一路11号,鑫渝花园；鑫渝花园利嘉楼；鑫宇花园,,
华一路15号,聚丰锦绣盛世,,
华一路1号,CASA卡萨国际公寓;卡萨国际公寓;卡萨国际,,
华一路24号,华一路24号;爱华华一综合楼,,
华一路28号,华一路28号,,
华一路69号,洲际半岛新城,,
华一路8号,华一路小区；华一路8号,,
华一坡13号,华一坡小区,,
华一坡19号,华一坡小区,,
华一坡1号,华一坡小区,,
华一坡20号,华一坡小区,,
华一坡212号,华一坡小区,,
华一坡213号,华一坡小区,,
华一坡214号,华一坡小区,,
华一坡215号,华一坡小区,,
华一坡216号,华一坡小区,,
华一坡21号,华一坡小区,,
华一坡22号,华一坡小区,,
华一坡27号,华一坡小区,,
华一坡28号,华一坡小区,,
华一坡29号,华一坡小区,,
华一坡2号,华一坡小区,,
华一坡30号,华一坡小区,,
华一坡31号,华一坡小区,,
华一坡32号,华一坡小区,,
华一坡3号,华一坡小区,,
华一坡4号,华一坡小区,,
华一坡5号,华一坡小区,,
华一坡7号,华一坡小区,,
华一巷7号,华一巷小区,,
华一小区,华一小区,,
华怡路18号,黄金堡公寓;黄金堡公寓住宅小区,,
华怡路21号,黄金堡坡月山庄,,
华怡路23号,黄金堡景馨苑,,
华亿大厦,华亿大厦,,
华银楼,华银楼,,
华银苑,华银苑,,
华宇北城中央,华宇北城中央;华宇北城中央一期;华宇北城中央东区;华宇北城中央西区;,,
华宇大厦,华宇大厦,,
华宇时代星空,时代星空,,
华宇天宫花城,华宇天宫花城,,
华宇五环大厦,华宇五环大厦,,
华玉路355号,圣马小区;玉清寺圣马小区,,
华玉路397号,嘉德园,,
华玉路444号,田野玉竹花园;玉竹花园,,
华玉路小区,,,
华园路18号,渝高幸福九里;渝高·幸福九里,,
华园路3号,协能枫馨丽园,,
华园路5号,西城尚景,,
华园路一巷1号,后勤基地;五童路后勤基地,,
化肥安全文明小区,化肥安全文明小区,,
化工村,化工村,,
化工路601号,康怡棠新天地,,
化工研究院,,,
化家湾,化家湾,,
化龙东街56号,化龙东街56号,,
化龙路140号,化龙路小区,,
化龙路164号,化龙路小区,,
化龙路166号,化龙路小区,,
化龙路17号,化龙路小区,,
化龙路267号,化龙路小区,,
化龙路269号,化龙路小区,,
化龙路271号,化龙路小区,,
化龙路273号,化龙路小区,,
化龙路31号,化龙路小区,,
化龙路327号,化龙路小区,,
化龙路329号,化龙路小区,,
化龙路359号,开发区;鱼洞化龙路;化龙路小区,,
化龙路75号,化龙路小区,,
化龙路91号,化龙路小区,,
化龙南街113号,化龙南街小区,,
化龙南街17号,化龙南街小区,,
化龙南街19号,化龙南街小区,,
化龙南街45号,化龙南街小区,,
